"text","label","pairs_diff"
"data","label",""
"First off, That's grade A USDA approved Liberalism in a nutshell.","1","ADVP,@S,4.55	NP,RB,11.06	,,@S,3.22	NP,@S,1.83	VP,.,1.31	VBZ,NP,0.93	NP,SBAR,1.87	NN,NN,4.14	NP,VP,1.42	VP,PP,0.23	VBD,NP,0.00	IN,NP,0.44	DT,NN,0.21	"
"watch it. Now you're using my lines. Poet has always been an easy target, I will agree.  )","1","VP,.,1.98	VB,NP,0.02	"
"Because it will encourage teens to engage in riskier behavior. Abstinence until marriage is still the best way.","1","SBAR,.,4.20	IN,S,3.08	NP,VP,2.91	MD,VP,1.47	VB,S,5.23	NP,VP,0.17	TO,VP,0.45	VB,PP,4.81	IN,NP,0.34	JJR,NN,0.27	"
"Obviously you missed the point. So sorry the the irony was beyond you.","1","ADVP,@S,4.85	NP,@S,5.16	VP,.,4.29	VBD,NP,0.27	DT,NN,0.01	"
"This is pure paranoia. What evidence do you have to support you're point of view? Why don't you actually do a little research yourself. Handgun Control Inc was founded by two victims of gun violence. Sarah Brady joined Handgun Control Inc after her husband received brain damage from a bullet. Senator Ted Kennedy also supports gun control because some of his family members were killed with guns. Many people who support gun control have experienced the horrors of gun violence firsthand and are just trying to make our nation a safer place. It's not because they are power hungry.","1","NP,@S,0.66	VP,.,0.58	VBZ,NP,0.35	JJ,NN,11.99	"
"And I would appreiciate your refraining from calling the Bible mythology.","1","CC,@S,4.33	NP,@S,3.52	VP,.,3.18	MD,VP,2.29	VB,S,1.47	NP,VP,1.83	VBG,PP,1.91	IN,S,2.17	VBG,NP,1.16	DT,@NP,1.10	NNP,NN,0.00	"
"Jake, while I don't agree with JP that this should be an issue of blame, with all due respect, your point here is a bit disingenuous  smallpox isn't easily spread by engaging in a given behavior as HIV is  HIV is a sexually transmitted disease.","1","NP,@S,6.22	,,@S,6.43	SBAR,@S,3.77	IN,S,2.22	NP,VP,1.45	VP,VP,4.01	VBP,RB,0.02	VP,SBAR,4.37	VB,PP,0.51	IN,NP,0.22	IN,S,5.25	NP,VP,5.12	MD,VP,4.90	VP,PP,5.27	VP,,,0.05	VB,NP,0.01	NP,PP,0.05	DT,NN,0.01	IN,NP,0.03	IN,NP,4.65	DT,@NP,3.88	JJ,NN,5.58	,,@S,6.27	NP,@S,7.70	PRP$,NN,0.01	ADVP,@S,8.50	VP,.,7.64	VP,SBAR,0.35	VP,SBAR,4.66	VBZ,ADJP,4.89	NP,JJ,4.07	DT,NN,0.02	NP,VP,1.43	VP,VP,9.24	VP,ADVP,10.50	VBZ,RB,0.03	VBN,PP,5.63	IN,S,6.01	VBG,PP,10.42	IN,NP,0.03	DT,@NP,0.24	VBN,NN,0.03	IN,S,4.69	NP,VP,5.40	VBZ,NP,3.95	NP,SBAR,4.73	VBZ,NP,3.06	DT,@NP,2.28	ADJP,NN,0.94	ADVP,VBN,0.27	"
"That wasn't meant as an insult tq, it was said in the hope that it would reach you where you live.","1","S,@S,0.87	NP,VP,2.04	VP,VP,1.03	VBD,RB,0.01	VBN,PP,4.84	IN,NP,4.43	DT,@NP,3.53	NN,NN,4.34	,,@S,0.68	NP,@S,0.55	VP,.,0.50	VBD,VP,1.57	VP,SBAR,1.46	VBN,PP,3.11	IN,NP,2.39	DT,NN,9.08	IN,S,0.88	NP,VP,0.56	MD,VP,2.26	VP,SBAR,1.67	VB,NP,0.02	WHADVP,S,0.11	NP,VP,0.01	"
"And what exactly is a ""God fearing athiest"" anyway?","1","CC,@SBARQ,2.66	WHNP,@SBARQ,3.18	WP,RB,0.00	SQ,.,2.05	VBZ,NP,1.23	NP,VP,3.16	DT,@NP,0.47	``,NNP,0.02	VP,ADVP,0.22	VBG,NP,0.07	NN,'',0.23	"
